Address,Amount,UniqueTokens,Percentage,Type
0x575dBF8FD34947c5a770d3951830E3f1D586d5F1,1,1,0.300300%,EOA
0x56Eb4bF8b7510323B89FdE249D1fb660ae30D2Ee,1,1,0.300300%,EOA
0x56466a6ea6D50781590d361457364Edb1A303A5a,1,1,0.300300%,EOA
0x554C72e8b241a6Af40C975353162221B2551AA0C,1,1,0.300300%,EOA
0x52E615F6A01ec472DFB59A6F9943BAec0f75b04D,1,1,0.300300%,EOA
0x528608F40F9835cC5e26244309384c8C15e07e60,1,1,0.300300%,EOA
0x524D4d1C827AE939a1839Ad74BC85ADb42f08d67,1,1,0.300300%,EOA
0x51c0Fa661F6328777952fF0e19A2E454E7850e8f,1,1,0.300300%,EOA
0x51aD7A4F254b12A5dD8e48aE9f7662739DFa82Ae,1,1,0.300300%,EOA
0x50d0dD8EEb0EC44bc4bAb51d74476fE93F41Eeb9,1,1,0.300300%,EOA
0x4ff83c705cd9EbA77F509138412810C60f06363A,1,1,0.300300%,EOA
0x4d22B041C4549f4b9402a46DEF24D7CE9f1cf06d,1,1,0.300300%,EOA
0x4C584c158eBAAA9FdFa62a893ee09C155C153857,1,1,0.300300%,EOA
0x4bec102fC0DED9E5f934f570bEd6de1a8bCEFdf6,1,1,0.300300%,EOA
0x4Bd23b0ffd6113ba6285FEdBE4Ca023608283372,1,1,0.300300%,EOA
0x4B03E181C81f492162515A23587E427cbA713b49,1,1,0.300300%,EOA
0x4a7749Dfbe8F6a877BB8d3ca5827626A6790E5E6,1,1,0.300300%,EOA
0x49F76C91737Fd4C0F584f3955b7f714aD7a114A8,1,1,0.300300%,EOA
0x437eC29483946292BeA7B21d3eb95aD502472c30,1,1,0.300300%,EOA
0x437148e8dcAB31515b95e9e4Ec99750Ad8B7C9FA,1,1,0.300300%,EOA
0x4358A86945fcA43B4f675d0Ff431788bDdF2623a,1,1,0.300300%,EOA
0x423634748248a9781B73FcA3bF0C50A7f3C73F5e,1,1,0.300300%,EOA
0x41EEf9DD851394AD2cc545de043159fCe4790Ff6,1,1,0.300300%,EOA
0x3fd08c282bf6e95E9252b89FBBd522ed9a952E80,1,1,0.300300%,EOA
0x3FA2b28dDef0970ba98870E2147053f1B3349479,1,1,0.300300%,EOA
0x3D375341d789Ed4cEC253E9dcB2e6fd6feCB1655,1,1,0.300300%,EOA
0x3d0de3A76cd9f856664DC5a3adfd4056E45da9ED,1,1,0.300300%,EOA
0x3CCF65e9D1E2956370f00b49128098F58730e10a,1,1,0.300300%,EOA
0x3cC2e154337C92A4d2d894b90bb5a54654554EB3,1,1,0.300300%,EOA
0x3b5ac671B85929337176e16C835af235473A8Fcf,1,1,0.300300%,EOA
0x3b580Ee7a7D54e9B657d77f5F64Bc44Ce3f03b4c,1,1,0.300300%,EOA
0x3a68C249A5C02dbccE2e7Bc9FAb797D94104DF3b,1,1,0.300300%,EOA
0x37aFb9f9d96AD1EfEe5B35E1c85E17d668753448,1,1,0.300300%,EOA
0x37A1eF42C06eAC94f2f38D7068Debff5b134C49B,1,1,0.300300%,EOA
0x3755E1675c0De8ed91ac5D5b9E15449029AdD533,1,1,0.300300%,EOA
0x36a9d52563F1339CB1500747Eac1cD0cCfA1D11C,1,1,0.300300%,EOA
0x363Ad18D8F7f000b60151517EAE42457Cf88060E,1,1,0.300300%,EOA
0x352CaBc6E58a632923f60CEF078177EF7c6436d3,1,1,0.300300%,EOA
0x348Cd8F60c3482ba36FcC23317D16eB8cF64f135,1,1,0.300300%,EOA
0x335f5aF787199e6549C93d75FEdff56B8225e25F,1,1,0.300300%,EOA
0x32c77593CBC92260A2f2357beDAEFf35A5e3947d,1,1,0.300300%,EOA
0x320B9017d6d6b29361b6FD3fEFba363b360C4A23,1,1,0.300300%,EOA
0x30ACF4Fb027F5a4C6D94b079AC6bd056925E77A3,1,1,0.300300%,EOA
0x2f98f2D97A571591197232D04f8B4989755599FF,1,1,0.300300%,EOA
0x2F44c692b6B921f0adF22E25Ff57CF4F5d95349D,1,1,0.300300%,EOA
0x2ee496CcE31d59af5A3c4Df8585E30f693e1ac9F,1,1,0.300300%,EOA
0x2EbdFb0eea0364372B4A1a1D2A8142C60Ea54867,1,1,0.300300%,EOA
0x2D8f2bc8C8C57DEE1522A21E94466C802a671f9A,1,1,0.300300%,EOA
0x2c10c6c111466eD93d811B9be7c47d0767126651,1,1,0.300300%,EOA
0x2aCDB8935479642B5Cc5Fa85D6aF73A46d8A6C75,1,1,0.300300%,EOA
0x2A806d0CCfD8cE7eeA145FabC87E47507bF9c2AE,1,1,0.300300%,EOA
0x29C7Ea8d537eDD09FD842b86e1b3Cb859147e086,1,1,0.300300%,EOA
0x294A67A5AF90181995e07444f04FE723092896a4,1,1,0.300300%,EOA
0x29051EDA7a8231B6c25f78c232E9bE486dFD7d1C,1,1,0.300300%,EOA
0x259B739bA719eD2ba64e1cc761Bb94CADb573CE1,1,1,0.300300%,EOA
0x2517cC95Fc00a5396876620B2EF3e0351fDD5949,1,1,0.300300%,EOA
0x24FA5212DeEcAdA58aFcd70C0F95a01B7247BB82,1,1,0.300300%,EOA
0x239b445eac142410F3511Ca239452B2FB275eE04,1,1,0.300300%,EOA
0x22C85FC66e391eF21A2FA69FfFc03d3966B2780f,1,1,0.300300%,EOA
0x22c7137e7A1De244B46089933c1a2Fb6489f7847,1,1,0.300300%,EOA
0x2276Ada313cEA003F0eEE4C89cB95ba7cc15377d,1,1,0.300300%,EOA
0x2216c931A40cB1318E725EE6A9E0e9931C2281B7,1,1,0.300300%,EOA
0x20a6fCC6e46F378f8A91C1c6e66B28169b097D1F,1,1,0.300300%,EOA
0x1f981281D2F9cca53A7217266b45C5ED59E14980,1,1,0.300300%,EOA
0x1F312652201D5425C24322139Be39f1bbDcFAc69,1,1,0.300300%,EOA
0x1f2e2640704fFDa577d54544D2D2B3D83BF97633,1,1,0.300300%,EOA
0x1F101873f110d4cF0562D7B60Bbb616154a89738,1,1,0.300300%,EOA
0x1eBd556a0436b13FeddbC647532f95071F95a193,1,1,0.300300%,EOA
0x1D9ef132f62172AB6dC86C50d4CCa9a8C4f3c567,1,1,0.300300%,EOA
0x1Bb3bE1B91d7ec1dE7D82249e2c82ae9E25aB972,1,1,0.300300%,EOA
0x1Ab1A16c9d72DF9920588a3ac163f27131ab3F29,1,1,0.300300%,EOA
0x19B338b1654f778443C27ef689ab5cDE5978EDae,1,1,0.300300%,EOA
0x187a266c7Bac90f216E576A47B03137Bf0F94436,1,1,0.300300%,EOA
0x164f04f4F4E6e28803Ed3503FFCFe72B7d8a6b26,1,1,0.300300%,EOA
0x1506AC38D763d59547b49824aea910e3Cc84F937,1,1,0.300300%,EOA
0x14CCF11beB8A6754B4cCe94020d9d6AD1590546D,1,1,0.300300%,EOA
0x1396bBDE70BF6bb41d964E7Fb1e3C9d323B40A38,1,1,0.300300%,EOA
0x12f0022Df0353cA4b59165419573c1B761F6b5Fc,1,1,0.300300%,EOA
0x1210E7004A87331dA7E2724D2F1319Dd26ac1983,1,1,0.300300%,EOA
0x11EBAA109A0A0388f82c5Bdea6Fafc0eC78Cb4D1,1,1,0.300300%,EOA
0x1105c6B1e513738CC647FA3f39D34493911FaF99,1,1,0.300300%,EOA
0x0F7695ECDb4F31BF9fB238d58B1AfDe357f3b8B2,1,1,0.300300%,EOA
0x0eDF2aB6295C02D405667196c4403E9B9b2aaFC4,1,1,0.300300%,EOA
0x0e44bE726b21565D3412AaB0de1f6BA669cB2504,1,1,0.300300%,EOA
0x0d108c7d04018862beb6f4A1A689742d3278010E,1,1,0.300300%,EOA
0x0cfA61E2761746a8F3d8e41515266Dfa8faa918a,1,1,0.300300%,EOA
0x0AC79A400b426e4B75CDf3a306Cf97a37a1f2457,1,1,0.300300%,EOA
0x096709aD90400BB476F80A0930d70E1606717DB4,1,1,0.300300%,EOA
0x07Ac22F3b68a402672952A1A2905Be99c3E3D371,1,1,0.300300%,EOA
0x07739fdB2f1dE953c02f274F5FD287eDE36AD4b8,1,1,0.300300%,EOA
0x074cB0FfAfACE006298A08e32F6c45cDC0f9F7da,1,1,0.300300%,EOA
0x05D9241Af328275Ebc265c7d7c6753c619c8EbCA,1,1,0.300300%,EOA
0x05b4c5Ce6a35Eb74D4598E7897730f3672c792d6,1,1,0.300300%,EOA
0x0327Dd63b15A3E44ea72034821A7Bb35c86A7065,1,1,0.300300%,EOA
0x02a965718Ca1288f25793D308C10844922B5E33F,1,1,0.300300%,EOA
0x0253ba3Af2fA2e5553BbB4575716379Fff068557,1,1,0.300300%,EOA
